tekst	korpus	reci	duzina.reci	infinitivi	trebati	da	imen.glag	duzina.reci.2
hrwac.00000074.txt.taglem	hrwac	923	6.0758396533	0.101123595506	1.0	1.08342361863e-07	0.79954954955	5
hrwac.00000025.txt.taglem	hrwac	549	5.8233151184	0.291666666667	0.0	9.10746812386e-07	0.64312267658	4
hrwac.00000037.txt.taglem	hrwac	1017	6.05899705015	0.0615384615385	0.0	9.83284169125e-07	0.735234215886	5
hrwac.00000087.txt.taglem	hrwac	340	5.08823529412	0.188405797101	0.0	8.82352941176e-07	0.557692307692	1
hrwac.00000021.txt.taglem	hrwac	250	4.988	0.333333333333	0.0	4e-07	0.752066115702	1
hrwac.00000091.txt.taglem	hrwac	252	5.02380952381	0.307692307692	1.0	1.98412698413e-06	0.706766917293	1
hrwac.00000009.txt.taglem	hrwac	600	5.615	0.218390804598	0.5	1e-06	0.691489361702	3
hrwac.00000076.txt.taglem	hrwac	332	6.4578313253	0.063829787234	0.0	6.02409638554e-07	0.737430167598	5
hrwac.00000080.txt.taglem	hrwac	842	5.55463182898	0.0388349514563	0.0	5.93824228029e-07	0.760465116279	3
hrwac.00000084.txt.taglem	hrwac	233	5.0	0.282051282051	0.0	0.0	0.669491525424	1
hrwac.00000090.txt.taglem	hrwac	111	6.0	0.333333333333	0.0	0.0	0.704918032787	4
hrwac.00000043.txt.taglem	hrwac	472	5.60805084746	0.181818181818	0.0	1.0593220339e-06	0.741176470588	3
hrwac.00000035.txt.taglem	hrwac	204	5.27450980392	0.142857142857	0.0	2.94117647059e-06	0.588235294118	2
hrwac.00000018.txt.taglem	hrwac	580	5.53793103448	0.13	0.0	1.20689655172e-06	0.667774086379	2
hrwac.00000061.txt.taglem	hrwac	359	5.54596100279	0.25	0.0	0.0	0.775510204082	3
hrwac.00000081.txt.taglem	hrwac	282	4.65957446809	0.0307692307692	0.0	7.09219858156e-07	0.563758389262	1
hrwac.00000015.txt.taglem	hrwac	330	5.42424242424	0.0	0.0	0.0	0.775147928994	2
hrwac.00000039.txt.taglem	hrwac	136	6.26470588235	0.0588235294118	0.0	0.0	0.760563380282	5
